ID,Trademark,HP,Liter,Cyl,Transmission speed count,Transmission type,MPG,Description,Price,IsInStock,PictureName
1,Kestrel Sport Sedan,300,3,6,5,Automatic,20,"The Kestrel Sport Sedan is a compact four door for drivers who spend the working week in traffic and the weekend somewhere better. 300 horsepower from a 3.0 litre six drives the rear wheels, the five speed automatic is unobtrusive in town, and at 20 MPG it is honest about what the engine is for.","$50,000 ",True,KestrelSportSedan.png
2,Meridian GT,250,2.5,4,6,Manual,25,"The Meridian GT is a four door fastback for drivers who still want a manual gearbox. The 2.5 litre four produces 250 horsepower, the six speed shift is short and precise, and 25 MPG makes it practical enough for a daily commute as well as a weekend route.","$45,000 ",True,MeridianGT.png
3,Longhaul Estate,400,4,8,7,Automatic,18,"The Longhaul Estate is built around the third row and the load bay behind it. A 4.0 litre V8 gives 400 horsepower for towing, the seven speed automatic holds gears sensibly under load, and the long wheelbase keeps the ride settled with the car fully packed.","$60,000 ",False,LonghaulEstate.png
4,Trailcut 200,200,2,4,5,Manual,22,"The Trailcut 200 is deliberately simple: a short wheelbase, a manual gearbox and 200 horsepower from a 2.0 litre four. There is little to go wrong and nothing that cannot be fixed at the side of a track, which is the point of a vehicle meant to be taken seriously off road.","$35,000 ",True,Trailcut200.png
5,Velocia Coupe,500,5,10,8,Automatic,15,"The Velocia Coupe places a 5.0 litre V10 behind the cabin: 500 horsepower, an eight speed automatic and a chassis built around the mass sitting between the axles. Fuel consumption of 15 MPG is the price of the layout, and nobody who buys one is surprised by it.","$80,000 ",True,VelociaCoupe.png
6,Regent Executive,350,3.5,6,6,Automatic,19,"The Regent Executive is a long wheelbase saloon meant to be travelled in as often as driven. A 3.5 litre six delivers 350 horsepower without ever sounding busy, and the six speed automatic changes gear in a way rear seat passengers are not supposed to notice.","$55,000 ",True,RegentExecutive.png
7,Nimbus Crossover,450,4.5,8,7,Automatic,17,"The Nimbus Crossover is shaped by drag: flush panels, a closed nose and covered wheels. The drivetrain gives 450 horsepower through a seven speed transmission, and the low one box body leaves far more cabin space than its footprint suggests.","$70,000 ",True,NimbusCrossover.png
8,Foreman Crew Cab,300,3,6,6,Manual,21,"The Foreman Crew Cab carries a crew of five and their equipment on the same journey. The 3.0 litre six gives 300 horsepower, the manual gearbox suits the low speed work the truck spends its life doing, and the flat bed with drop sides takes whatever will not fit in the cab.","$40,000 ",False,ForemanCrewCab.png
9,Dune Runner,150,1.5,4,4,Automatic,24,"The Dune Runner is a frame, two seats and a 1.5 litre four making 150 horsepower. With almost no bodywork to carry it stays quick despite the modest output, and the long travel suspension and balloon tyres are chosen for soft ground rather than for tarmac.","$30,000 ",True,DuneRunner.png
10,Cityhop Compact,250,2.5,4,5,Manual,23,"The Cityhop Compact is sized for streets that were laid out before cars. Short overhangs make it park where nothing else fits, the 2.5 litre four and five speed manual give it more than enough for city traffic, and 23 MPG holds up in stop start driving.","$35,000 ",True,CityhopCompact.png
11,Auralis Grand Tourer,400,4,8,6,Automatic,16,"The Auralis Grand Tourer is built for long distances at speed. The 4.0 litre V8 gives 400 horsepower with enough reserve to make overtaking unremarkable, and the six speed automatic is tuned to stay in a tall gear rather than to chase revolutions.","$65,000 ",True,AuralisGrandTourer.png
12,Trailhead Wagon,200,2,4,5,Automatic,20,"The Trailhead Wagon is an estate car with the ground clearance to leave the road. 200 horsepower from a 2.0 litre four is modest by design, all terrain tyres and underbody protection come as standard, and 20 MPG makes it usable as the only car in a household.","$38,000 ",True,TrailheadWagon.png
13,Apex Hypercar,550,5.5,10,8,Automatic,14,"The Apex Hypercar is the most extreme car in the catalogue: 550 horsepower from a 5.5 litre V10, an eight speed automatic and aerodynamics that dictate every panel. At 14 MPG it is not a car anyone commutes in, and it was never meant to be.","$90,000 ",True,ApexHypercar.png
14,Circuit One Racer,300,3,6,6,Automatic,18,"The Circuit One Racer is a track car with no road equipment at all. 300 horsepower moves very little mass, the aerodynamics do the rest, and everything not needed to complete a race distance has been left off.","$50,000 ",False,CircuitOneRacer.png
15,Concord Hybrid Saloon,180,1.8,4,4,Automatic,26,"The Concord Hybrid Saloon is the quiet option in the catalogue and the most economical: 26 MPG from a 1.8 litre four paired with an electric motor. 180 horsepower is enough for a car meant to cover a commute without drama, and the hybrid drivetrain does its best work exactly where that commute is slowest.","$42,000 ",False,ConcordHybridSaloon.png
