Yacht Name,Length (ft),Number of Cabins,Maximum Speed (knots),Cruising Range (nm),Price (USD),Year of Release,Builder,Designer,Flag,Location,Description,PictureName
Halcyon 120,120,5,26,2800,"12,500,000",2022,Harlow Yards,Verity Design Studio,Malta,Valletta,"The Halcyon 120 is a three deck flybridge motor yacht built around the flybridge itself: the hardtop covers the whole of it, so the largest social space on board is also the most usable one in bad weather. Five cabins, 26 knots flat out and 2,800 nautical miles at cruise put the Mediterranean within reach without a fuel stop.",Halcyon120.png
Northwind 180,180,6,16,6000,"34,000,000",2021,Halden Marine,Ardent Naval Design,Cayman Islands,George Town,"The Northwind 180 is an explorer with the working deck to match: a crane, a stowed tender and enough clear space forward to land stores. Speed is not the point at 16 knots, but 6,000 nautical miles of range is, and the high freeboard is what makes that range usable rather than merely theoretical.",Northwind180.png
Lumen 95,95,4,34,1600,"8,900,000",2023,Vega Shipyards,Studio Fairweather,Italy,Viareggio,"The Lumen 95 does without a flybridge entirely, which is why it looks the way it does. The profile is a single low line from bow to stern, 34 knots is available whenever the sea allows it, and the stern garage swallows a tender that would otherwise sit on deck and spoil the view.",Lumen95.png
Solace 210,210,8,21,4500,"78,000,000",2020,Brixham Yachtworks,Lorne & Partners,Marshall Islands,Majuro,"The Solace 210 is a tri deck built for owners who travel with guests rather than alone: eight cabins, side balconies on two of the decks and a foredeck helipad for the journeys nobody wants to make by tender. The range of 4,500 nautical miles covers an Atlantic crossing with a sensible margin.",Solace210.png
Fathom 72,72,3,38,1200,"4,200,000",2024,Tidewater Boatworks,Petrel Design Office,USA,"Fort Lauderdale, FL","The Fathom 72 is a sportfishing convertible and every line of it says so: a tuna tower above the flybridge, outriggers along the sides and a cockpit left deliberately bare around the fighting chair. At 38 knots it reaches the fishing grounds early, which is the whole argument for a boat this powerful.",Fathom72.png
Cirrus 88,88,4,24,3200,"6,800,000",2023,Coralline Marine,Studio Vantage,Australia,Sydney,"The Cirrus 88 is a power catamaran, so the saloon runs the full width of the bridgedeck and the boat stays level whether it is moving or at anchor. Two slender hulls give 24 knots and 3,200 nautical miles on modest power, and the shallow draught opens up anchorages a monohull of this size cannot enter.",Cirrus88.png
Windward 130,130,5,14,5000,"19,000,000",2019,Aeolus Sail Yards,Calder Naval Architects,New Zealand,Auckland,"The Windward 130 is a two masted staysail schooner: the rig is split over two moderate masts rather than one tall one, so the sail plan is handled by a smaller crew. Fourteen knots is the figure under power; under sail the number that matters is the 5,000 nautical mile range, which is what the tankage looks like when the engine is the backup.",Windward130.png
Calista 160,160,6,23,3600,"27,500,000",2022,Northline Marine,Blue Meridian Studio,Monaco,Monaco,"The Calista 160 is a semi displacement yacht in the older style: a curved sheerline, continuous window bands and a sun deck rather than a stack of balconies. Six cabins and 3,600 nautical miles make it a season boat, and 23 knots is there for the days when the next port has to be reached before dark.",Calista160.png
Bramble Bay 78,78,3,12,3000,"3,900,000",2021,Quayside Shipyard,Norwood Design House,UK,Southampton,"The Bramble Bay 78 is a long range trawler and the least expensive way in this catalogue to cross an ocean slowly. Twelve knots is the honest maximum, the pilothouse sits well forward behind a Portuguese bridge for heavy weather, and three cabins are enough for the couple who will actually be aboard.",BrambleBay78.png
Aster 105,105,4,18,2400,"11,200,000",2025,Larkspur Marine,Atelier Mareo,Netherlands,Rotterdam,"The Aster 105 runs a diesel electric drivetrain and carries solar panels flat on the hardtop, so a night at anchor needs no generator at all. Eighteen knots is modest for the length, which is the trade being made: the quiet hours are the ones this boat is designed for.",Aster105.png
Sable 240,240,7,20,5500,"58,000,000",2018,Grenfell Yards,Harbourline Design,Bahamas,Nassau,"The Sable 240 is a support vessel rather than a yacht in the usual sense: the superstructure is pushed forward and everything behind it is flat deck for tenders, a helicopter and whatever else the mothership cannot carry. Seven cabins house the crew who look after all of it.",Sable240.png
Sirocco 68,68,2,32,800,"2,600,000",2026,Saltmarsh Boatworks,Marbrook Design,Spain,Palma de Mallorca,"The Sirocco 68 is an open day boat with no enclosed superstructure at all: a windscreen, a sunpad forward and a cockpit aft. Two cabins and 800 nautical miles of range say plainly what it is for, and 32 knots says how it gets there.",Sirocco68.png
Avelon 295,295,8,19,6500,"138,000,000",2017,Orion Naval Yards,Studio Arcadia,Greece,Athens,"The Avelon 295 is the largest vessel in the catalogue and the only one with four decks. The stern opens into a beach club at the waterline, the main saloon is glazed from deck to ceiling, and 6,500 nautical miles of range means the itinerary is chosen without reference to fuel.",Avelon295.png
Peregrine 145,145,5,28,2900,"21,000,000",2024,Cobalt Bay Shipyard,Fjordline Studio,Croatia,Split,"The Peregrine 145 is the fast flybridge of the range: a deep vee hull, a raked bow and 28 knots from a yacht of this displacement. The sweeping hardtop shades the whole flybridge, and 2,900 nautical miles is enough for the Adriatic season without planning around fuel.",Peregrine145.png
Marisol 115,115,6,11,2200,"7,400,000",2020,Whitecliff Marine,Studio Halyard,Turkey,Bodrum,"The Marisol 115 is a traditional two masted gulet with a varnished timber hull and an awning over the aft deck. Eleven knots under power is all it asks for, six cabins take a large party, and the boat exists for the kind of charter week that is spent at anchor rather than under way.",Marisol115.png
