Part Number,Name,Group,Material,Weight (kg),Dimensions (mm),Unit Price (USD),Supplier,Country of Origin,Lead Time (days),Stock,Minimum Stock,Lifecycle Status,Revision,Warranty (months),Fits,Fits Yachts,Description,PictureName
ENG-1042,Cylinder head assembly,Engine,Cast aluminium alloy,24.5,520 x 210 x 180,1850,Halden Industrial,Germany,21,34,12,Active,C,24,Kestrel Sport Sedan; Regent Executive; Foreman Crew Cab,Halcyon 120; Lumen 95; Calista 160,"A complete four valve head with camshafts, valves and springs fitted, supplied with the gasket set. Machined and pressure tested as an assembly, so the line fits it without further preparation.",CylinderHeadAssembly.png
ENG-1108,Turbocharger assembly,Engine,"Nickel alloy turbine, aluminium housing",9.2,260 x 240 x 210,1240,Vector Forge,Czechia,28,18,8,Active,E,24,Concord Hybrid Saloon; Meridian GT; Trailhead Wagon,Halcyon 120; Calista 160; Bramble Bay 78,"A single scroll turbocharger with an integrated wastegate actuator, balanced to 180,000 rpm. The oil and coolant feed ports match the standard head casting, so no adapter is required.",TurbochargerAssembly.png
ENG-1215,Timing chain kit,Engine,Hardened steel,3.4,340 x 160 x 60,290,Arbor Precision,Poland,14,96,40,Active,B,36,Kestrel Sport Sedan; Meridian GT; Cityhop Compact,Halcyon 120; Calista 160; Bramble Bay 78; Marisol 115,"Chain, both guides, the tensioner and the sprockets in one box, because replacing the chain alone puts a new part against worn guides. The kit covers every engine in the four cylinder family.",TimingChainKit.png
ENG-1330,Oil pump module,Engine,"Sintered steel rotor, aluminium body",4.1,230 x 180 x 120,410,Cobalt Machining,Italy,18,52,20,Active,A,24,Longhaul Estate; Auralis Grand Tourer; Apex Hypercar,Northwind 180; Marisol 115,"A variable displacement pump with the pickup and strainer attached. Output is regulated against oil temperature rather than engine speed alone, which is what keeps consumption down at motorway cruise.",OilPumpModule.png
FUE-2076,Fuel rail with injectors,Fuel system,"Stainless steel rail, brass injectors",2.6,480 x 90 x 80,760,Northline Components,Spain,25,41,15,Active,D,24,Kestrel Sport Sedan; Velocia Coupe; Apex Hypercar,Cirrus 88; Windward 130; Peregrine 145,A direct injection rail delivered with four matched injectors already fitted and flow tested as a set. Matching the injectors at the factory is what keeps cylinder to cylinder variation inside tolerance.,FuelRailWithInjectors.png
FUE-2143,High pressure fuel pump,Fuel system,Forged steel,3.8,180 x 150 x 140,690,Halden Industrial,Germany,30,27,10,Active,C,24,Concord Hybrid Saloon; Nimbus Crossover,Cirrus 88; Windward 130; Peregrine 145,A camshaft driven pump rated to 250 bar with the pressure sensor in the body. Rebuild is not offered: the internal clearances are set on assembly and cannot be restored in the field.,HighPressureFuelPump.png
COO-3011,Radiator core,Cooling,"Aluminium core, composite tanks",6.7,680 x 480 x 55,520,Larkspur Metalworks,Turkiye,20,63,24,Active,B,36,Longhaul Estate; Foreman Crew Cab; Trailhead Wagon,,"A double row core sized for towing rather than for the empty vehicle. The tanks are moulded with the transmission cooler ports in place, so one part covers both the manual and the automatic build.",RadiatorCore.png
COO-3084,Intercooler,Cooling,Aluminium,5.3,600 x 300 x 70,480,Vector Forge,Czechia,22,38,16,Active,A,36,Meridian GT; Nimbus Crossover; Concord Hybrid Saloon,Fathom 72; Cirrus 88; Sable 240; Sirocco 68; Avelon 295,"A bar and plate charge air cooler with cast end tanks. The pressure drop across it is under 0.1 bar at full load, which is the figure the engine calibration assumes.",Intercooler.png
COO-3150,Water pump,Cooling,"Aluminium housing, composite impeller",2.9,190 x 170 x 130,240,Arbor Precision,Poland,12,120,48,Active,F,24,Kestrel Sport Sedan; Cityhop Compact; Trailcut 200,Fathom 72; Cirrus 88; Windward 130; Sable 240; Sirocco 68; Avelon 295,"A belt driven pump with a sealed bearing and a composite impeller, supplied with the housing gasket. The impeller is moulded rather than pressed on, which removes the usual failure point.",WaterPump.png
EXH-4022,Exhaust manifold,Exhaust,Cast iron,8.9,420 x 280 x 190,580,Grenfell Castings,Mexico,26,22,8,Active,C,24,Longhaul Estate; Auralis Grand Tourer,,"A four into one cast manifold with the oxygen sensor boss already machined. Cast iron is chosen over fabricated steel for thermal cycling life, at the cost of weight.",ExhaustManifold.png
EXH-4115,Catalytic converter,Exhaust,"Ceramic substrate, stainless shell",7.4,520 x 200 x 160,940,Saltmarsh Engineering,Japan,35,16,6,Active,B,60,Kestrel Sport Sedan; Regent Executive; Concord Hybrid Saloon,,"A close coupled converter with the flexible joint welded to the inlet. The substrate reaches light off within ninety seconds of a cold start, which is what the emissions figure depends on.",CatalyticConverter.png
TRA-5030,Six speed manual gearbox,Transmission,"Cast aluminium case, steel gears",48.6,620 x 420 x 400,3200,Cobalt Machining,Italy,42,9,4,Active,D,36,Meridian GT; Trailcut 200; Foreman Crew Cab,,"A complete transverse gearbox with the differential inside the case, filled and run in on the test bench before dispatch. The ratios are the close set used in the sporting build.",SixSpeedManualGearbox.png
